username,totalStarsReceived
shreyas0906,70
espectre,563
hanzlfs,999
VisionSystemsInc,0
TheArheus,3
weiyangfb,22
skrish13,885
1587257781,1
hyeonjames,4
kenkimatsumoto,1
mrcgliu,0
rskmoi,264
HuipengXu,174
schelotto,336
Anubis7th,0
hortune,39
zoe0919,0
qarchli,9
koptelovmax,8
karoly-hars,128
lpj0,554
aiff22,2617
hs366399,14
souravsingh,13349
zimengq,16
milindmalshe,48
grassknoted,281
GlassyWing,1204
tomguluson92,1641
dailai,26
carlosdcastillo,561
nazarblch,11
JASON7033,2
chenzyhust,1
holmdk,122
phranq0,1
douhaoYaz,2
allanj,903
